Name,Pos,Bats,Thr,Proj WAR,Med Years,Med Total,Med AAV
Yuli Gurriel,1B,R,R,0,0,0,0
Randal Grichuk,RF/LF,R,R,0.496819,0,0,0
Jon Berti,3B/2B/SS,R,R,0.464628,0,0,0
John King,RP,L,L,0.161148,0,0,0
Jon Gray,SP,R,R,1.468783,0,0,0
Lucas Sims,RP,R,R,-0.36296,0,0,0
Colin Holderman,RP,R,R,0.116648,0,0,0
Jonah Heim,C,S,R,0.698369,0,0,0
Jorge Alcala,RP,R,R,0.161801,0,0,0
Lane Thomas,CF/RF/LF,R,R,0.720973,0,0,0
Jorge Mateo,SS/2B/3B/OF,R,R,0.33888,0,0,0
Jason Heyward,RF/LF,L,L,0,0,0,0
Jonathan Loáisiga,RP,R,R,0.302123,0,0,0
Scott Alexander,RP,L,L,0.042712,0,0,0
MJ Melendez,LF/RF,L,R,0.056611,0,0,0
MJ Melendez,LF/RF,L,R,-0.03001,0,0,0
Michael Conforto,LF/RF,L,R,0.406596,0,0,0
Mark Canha,LF/RF/1B,R,R,0.084711,0,0,0
Kevin Newman,2B/SS/3B,R,R,0.038678,0,0,0
Jeimer Candelario,1B/3B,S,R,-0.0986,0,0,0
Leody Taveras,CF/RF/LF,S,R,0.339111,0,0,0
Orlando Arcia,SS/3B/2B/1B,R,R,0.472658,0,0,0
Génesis Cabrera,RP,L,L,-0.02116,0,0,0
Alex Verdugo,RF/LF,L,L,0.258119,0,0,0
Chad Green,RP,L,R,-0.00475,0,0,0
Nestor Cortes,SP,R,L,0.473592,0,0,0
Kyle Farmer,1B/2B/3B,R,R,0.095354,0,0,0
Josh Rojas,3B/2B,L,R,0.482883,0,0,0
Jacob Stallings,C,R,R,-0.21825,0,0,0
LaMonte Wade Jr.,1B/RF/LF,L,L,0.377305,0,0,0
Anthony Kay,SP,L,L,1.196574,1,5000000,5000000
Alex Cobb,SP,R,R,1.167632,0,0,0
Cody Ponce,SP,R,R,0.995678,2,16000000,8000000
Tatsuya Imai,SP,R,R,0.995678,4,64000000,16000000
